"Policy No","Amount","Source System","Type","ID","Currency","PAS Ledger Account No","LOB Code","Country Code","Postal Code","State Province","Territory","Broker Code","Coverage Code","Premium Code","Product Code","Entity","Coverage FK","Policy FK","Transaction Type","Billing Acct No","Payment Method","Transaction ID","State","Coverage ID","Period Type","Period Start","Period End","Split Party Code","Posting Level","Policy ID","ID_1","Created By","Description","Entity Ref No","Entity Ref","Entity Type","Manual Txn Ind","Txn Date","Effective Date","Txn Type","Accounting Date","Export Status","Ledger Txn ID","Entries ID"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283309","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418601","AZ","","","","","","","","1007282023","qa","","600077379","1007274023","BillingTransaction","","2016-04-22 00:19:35.0","2016-04-22 00:00:00.0","BillingAccount","2016-04-22 00:00:00.0","exported","1007282023","1007283309"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283312","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418602","AZ","","","","","","","","1007282024","qa","","600077379","1007274024","BillingTransaction","","2016-05-23 00:19:35.0","2016-05-23 00:00:00.0","BillingAccount","2016-05-23 00:00:00.0","exported","1007282024","1007283312"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283314","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418603","AZ","","","","","","","","1007282025","qa","","600077379","1007274025","BillingTransaction","","2016-06-22 00:19:34.0","2016-06-22 00:00:00.0","BillingAccount","2016-06-22 00:00:00.0","exported","1007282025","1007283314"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283316","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418607","AZ","","","","","","","","1007282026","qa","","600077379","1007274026","BillingTransaction","","2016-07-22 00:19:35.0","2016-07-22 00:00:00.0","BillingAccount","2016-07-22 00:00:00.0","exported","1007282026","1007283316"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283318","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418608","AZ","","","","","","","","1007282027","qa","","600077379","1007274027","BillingTransaction","","2016-08-22 00:19:34.0","2016-08-22 00:00:00.0","BillingAccount","2016-08-22 00:00:00.0","exported","1007282027","1007283318"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283320","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418611","AZ","","","","","","","","1007282028","qa","","600077379","1007274028","BillingTransaction","","2016-09-22 00:19:33.0","2016-09-22 00:00:00.0","BillingAccount","2016-09-22 00:00:00.0","exported","1007282028","1007283320"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283322","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418615","AZ","","","","","","","","1007282029","qa","","600077379","1007274029","BillingTransaction","","2016-10-24 00:19:33.0","2016-10-24 00:00:00.0","BillingAccount","2016-10-24 00:00:00.0","exported","1007282029","1007283322"
"AZSS927612878","462.48","ManualPayment","BillingLedgerEntry","1007283324","USD","1001","AUTO","","","","","500001714","","","AAA_SS","WUIC","","","ManualPayment","600077379","PaymentDetailsCash","500418616","AZ","","","","","","","","1007282030","qa","","600077379","1007274030","BillingTransaction","","2016-11-02 00:19:53.0","2016-11-02 00:00:00.0","BillingAccount","2016-11-02 00:00:00.0","exported","1007282030","1007283324"
"CTH3910133393","122.53","OverPaymentReallocationAdjustment","BillingLedgerEntry","1058823004","USD","1001","HOME","","","","","500001019","","","AAA_HO_SS","WUIC","","","OverPaymentReallocationAdjustment","600077391","PaymentDetailsCash","500418658","CT","","","","","","","","1058822002","ipbsys","","600077391","1058820003","BillingTransaction","","2016-06-10 09:06:40.0","2016-06-10 00:00:00.0","BillingAccount","2016-06-10 00:00:00.0","exported","1058822002","1058823004"
"CTH3910133393","122.53","OverPaymentReallocationAdjustment","BillingLedgerEntry","1058799060","USD","1001","HOME","","","","","500001019","","","AAA_HO_SS","WUIC","","","OverPaymentReallocationAdjustment","600077391","PaymentDetailsCash","500418666","CT","","","","","","","","1058798007","qa","","600077391","1058790008","BillingTransaction","","2016-06-29 09:07:06.0","2016-06-29 00:00:00.0","BillingAccount","2016-06-29 00:00:00.0","exported","1058798007","1058799060"
"DESS107000013","417","ManualPayment","BillingLedgerEntry","1058799083","USD","1001","AUTO","","","","","500001003","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418698","DE","","","","","","","","1058798009","qa","","600077404","1058790009","BillingTransaction","","2017-04-19 17:56:33.0","2017-04-19 00:00:00.0","BillingAccount","2017-04-19 00:00:00.0","exported","1058798009","1058799083"
"DESS107000013","541.5","ManualPayment","BillingLedgerEntry","1058799822","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","ManualPayment","600077404","PaymentDetailsCash","500418761","DE","","","","","","","","1058798064","qa","","600077404","1058790052","BillingTransaction","","2017-05-19 17:58:12.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058798064","1058799822"
"DESS107000013","541.5","RecurringPayment","BillingLedgerEntry","1058823146","USD","1001","AUTO","","","","","400001650","","","AAA_SS","WUIC","","","RecurringPayment","600077404","AAAPaymentDetailsEFT","500418751","DE","","","","","","","","1058822039","ipbsys","","600077404","1058820052","BillingTransaction","","2017-05-19 17:57:16.0","2017-05-19 00:00:00.0","BillingAccount","2017-05-19 00:00:00.0","exported","1058822039","1058823146"
